corp,size,num_fund,old_num_fund,size_rate,mon_profit,three_profit,six_profit,year_profit
万家基金,1450.7399999999996,163,126.0,0.8225181631443265,-0.006450797853494015,0.011297768774884693,0.014540488487101554,0.026869091183602787
上投摩根基金,1035.29,113,88.0,0.800587275063026,-0.016432388535191796,0.006433117630712154,0.0010907176462966325,0.014125946893845399
上海光大证券资产管理,150.10999999999999,35,26.0,0.7971487575777765,-0.022982963258648865,-0.009914327972306004,-0.0423235029919505,-0.02844414853680017
上海国泰君安资管,229.07999999999996,20,7.0,0.6981840405098657,-0.018241580556379148,0.011111135246806767,-0.03487790942313144,-0.027871015754771886
上海海通证券资产管理,21.060000000000002,26,3.0,0.3789173789173789,-0.01590430335962709,-0.001592942101481705,-0.11626133348530043,-0.09648775776922759
上银基金,635.4800000000001,48,27.0,0.8531975829294389,-0.007441295526874048,0.004227430651800807,0.006044085202096988,0.007361218410333141
东兴基金管理,42.11000000000001,28,19.0,0.7283305628116837,-0.016284211632979252,0.007479116492536703,-0.00341126485651073,-0.024909660749663175
东吴基金,171.56000000000006,49,28.0,0.44229424108183707,-0.022654582022749895,0.019096653255410316,0.0023801228702238003,-0.016040280823139363
东吴证券,2.2800000000000002,8,0.0,,,,,
东方基金,611.7199999999999,86,72.0,0.9209605701955146,-0.008847918913064337,0.004754382475403575,0.003530633233916976,0.0064353209626399335
东方红资产管理,2460.130000000001,116,76.0,0.8229321214732551,-0.007134992966745616,0.005144051269674261,-0.01904386635201265,-0.02235923023138266
东方阿尔法基金,131.75,10,6.0,0.7102087286527514,-0.033824762634378745,0.023404752045903563,0.0815903146018455,0.0540540313476865
东海基金,91.24000000000001,15,12.0,0.1696624287593161,-0.012155470658902462,0.015210229100057494,-0.007566780821041517,-0.02337089736341116
东海证券,2.6900000000000004,13,0.0,,,,,
东莞证券,2.04,1,0.0,,,,,
东证融汇证券资产管理,0.0,6,0.0,,,,,
东财基金,50.91999999999998,43,16.0,0.42890809112333095,-0.03052655520404127,0.017883422251520252,-0.03649076442153961,0.003880963626981362
中信保诚基金,1299.2199999999998,126,104.0,0.8737627191699633,-0.0056951171010549174,0.0066683791073584905,0.012755677199141667,0.02489769453169525
中信建投基金,270.62000000000006,60,39.0,0.7083733648658634,-0.01682050844493419,0.003961349504093375,0.011654666347635933,0.05228529320811258
中信建投证券,28.23,2,2.0,1.0,-0.03469644193898161,0.011390108986195411,-0.08530139034613898,-0.06719798163624759
中信证券,463.40999999999985,35,19.0,0.9116333268595846,-0.02188910183372063,0.011707162909338986,-0.02917457957973916,-0.049304255432868926
中加基金,1005.1800000000001,98,77.0,0.7936290017708272,-0.0029148235075122184,0.008085777228219293,0.006794449879625238,0.018252383273467853
中庚基金,249.23,5,3.0,0.5707579344380693,0.013254626988905163,-0.0174266497533084,0.10422382512874188,0.25635408689670286
中欧基金,4225.900000000002,214,157.0,0.8875647791003097,-0.014253080306271555,0.013929060286959312,-0.008706098603419735,0.006121119234114866
中泰证券(上海)资管,166.60000000000002,24,12.0,0.7674669867947178,0.0005563194086099964,0.0032467530377525556,0.014632962340311806,0.04013967882962193
中海基金,128.01,37,33.0,0.9560971799078197,-0.024525058333144716,0.008050012982541526,0.00992017888699174,0.01621165509670441
中科沃土基金,29.93,11,11.0,1.0,-0.0069009479568665774,0.004614900319066218,0.009465556836089371,0.04436224826405832
中航基金,264.85,22,14.0,0.7386445157636399,-0.008078239044027864,0.0073367206291355055,-3.091302427192125e-05,0.04282839270390278
中融基金,824.1299999999998,125,90.0,0.6984456335772271,-0.005563564012945853,0.015051465295929389,0.017119352701568932,0.018139238327915867
中邮基金,557.65,73,59.0,0.6701694611315341,-0.010099927215982686,0.016670538153025122,0.027688248113263234,0.019898054478967635
中金公司,47.56,12,12.0,1.0,-0.008465638251407719,0.011548112228892758,-0.0025674907224279195,-0.006899084323960619
中金基金,465.7300000000001,59,48.0,0.7251841195542482,-0.007999256292869211,0.0013629491647425198,-0.018219190438405756,-0.013337844908100195
中银基金,2843.5500000000015,213,176.0,0.9382004888255872,-0.008625161390044862,0.0017377156042480428,-0.0006946420337803294,-0.0032529432545051018
中银证券,1176.9599999999998,64,40.0,0.918518896139206,-0.005460699873754127,0.008178884570369499,0.009738987662337875,0.017655286053601144
九泰基金,62.63,55,38.0,0.7697589014849114,-0.021555065703889213,0.007426195216332564,0.0007616771686539539,0.028405080330177922
交银施罗德基金,3526.7400000000007,159,117.0,0.8341811417910026,-0.008749962235582547,0.015403228612406736,0.0015994035149940525,0.006756140263394165
人保资产,22.270000000000003,33,31.0,0.9012123933542884,-0.012584713925242701,-0.0004094871300101401,0.005330896864523867,-0.002300713299397779
信达澳银基金,634.6299999999999,59,35.0,0.5616343381182738,-0.017410277591550245,0.016769901653419683,0.024530583564956698,0.03951239327771727
信达证券,2.23,5,0.0,,,,,
先锋基金,41.230000000000004,14,14.0,1.0,-0.0055422727114269555,0.000294335557050348,-0.008290632914149968,0.020567529258274674
光大保德信基金管理,731.0699999999996,97,78.0,0.8453499664874775,-0.009563497738223837,0.01998856493872789,0.0009895108029177497,0.0005198313034117785
兴业基金,1530.75,108,84.0,0.8388175730850889,-0.006122484695000786,0.008634517240383008,-0.003708020096947493,-0.0007004640200168109
兴华基金管理,24.099999999999998,11,4.0,0.017012448132780085,-0.029603724624809653,0.03555967441581229,-0.014782463033927813,0.04789536709610098
兴证全球基金,3146.0699999999993,64,43.0,0.8732418541227628,-0.01386085938730315,0.025796676775475095,-0.0031646425981243535,0.0008101027289330564
兴证资管,13.25,17,2.0,0.8022641509433963,-0.017235391647248573,0.05036950646749104,-0.039948567017018724,-0.03131518403692218
兴银基金,411.81000000000006,52,37.0,0.9061946043078118,-0.005773645944117652,0.010020445498953449,0.011782742408259906,0.015671341446326814
农银汇理基金,1207.4799999999996,67,56.0,0.831558286679697,-0.013388116629319323,0.013771652554044899,0.03195968449714536,0.008298933608528585
凯石基金,10.809999999999999,8,7.0,1.0,-0.018153724256847116,-0.005532122375750125,-0.021234343752031194,-0.0343295976867529
创金合信基金,577.6699999999998,152,98.0,0.7863659182578291,-0.016704447216444637,0.006082078425331891,0.004842988040982559,0.02209084924863234
前海开源基金,1233.3300000000002,150,132.0,0.9585917799777838,-0.006732715200659159,0.010301373426345396,-0.0015420022362121423,0.0002887163534720653
前海联合,265.79,60,56.0,0.9806238007449489,-0.009881190210695445,0.010587715441449281,-0.012940261110678806,-0.02163501836967604
北信瑞丰,22.040000000000003,21,20.0,0.9042649727767694,-0.010966202236095119,0.031618861635946585,0.04469714867402769,0.036954277789190484
华创证券,0.0,2,0.0,,,,,
华商基金,613.4300000000002,90,66.0,0.7530280553608396,-0.017711900079807948,0.02252149465494861,0.05031070890118599,0.04432643731465316
华夏基金,6885.330000000003,473,307.0,0.8072452591233826,-0.010544664908260516,0.010371615909481675,-0.005204606398159853,0.0029570723569564534
华安基金,3587.0299999999993,278,185.0,0.7434897394223079,-0.011003950469042411,0.008713946358596627,0.005027464242890407,0.016448261208678677
华安证券,20.740000000000002,12,3.0,0.6162005785920924,0.011677584656716236,0.010958374774450408,0.031455135240602124,0.06992734405456084
华宝基金,1413.55,171,115.0,0.8635562944359944,-0.011218925608822953,0.008064856106929485,0.005129728174279445,0.0004432216797287008
华宸未来基金,4.15,5,3.0,0.18554216867469878,-0.006433646214217319,0.008873503607028661,-0.0053687248664228936,-0.021674418586386343
华富基金,402.65999999999997,74,57.0,0.8196741667908408,-0.01045061251314334,0.013151781181694558,0.011512859069154483,0.01652628709269024
华泰保兴,216.28000000000003,30,26.0,0.9633808026632142,-0.010951303655365811,0.007766550553636315,-0.0031489977746371584,-0.010725253225845182
华泰柏瑞基金,1513.3099999999997,159,108.0,0.829545830001784,-0.017112186499991563,-0.0018666262330782335,0.002047929499342959,0.016688253985035612
华泰证券(上海)资产管理,169.04000000000002,38,28.0,0.9717818267865592,-0.0042521363999184275,0.007416390174500428,0.012264206580030131,0.013579758868890703
华润元大基金,79.87,29,27.0,1.0,-0.013397898567696406,0.012349481017866645,-0.013301609357743181,-0.005268743971860918
华融基金,36.94,8,4.0,0.7674607471575529,-0.0014644367565768788,0.011691810294560257,0.006761563490312342,-0.009382824988929686
华鑫证券,1.19,2,0.0,,,,,
南华基金,94.34999999999998,21,17.0,0.5237943826179121,-0.011369152081798839,0.009757476609105553,-0.0028414270651109857,0.031088231112620504
南方基金,5564.370000000004,455,341.0,0.7833752967541696,-0.010587571191272464,0.00601620791857158,-0.008402633980998329,-0.009604677708206485
博时基金,5089.470000000003,476,331.0,0.7990930293331128,-0.007687648562910563,0.009413881804509956,-0.003444824493739855,-0.0005290326774109271
博远基金,23.589999999999996,13,9.0,0.5260703688003392,0.0004598029470251262,0.002205775570482396,-0.007431306695482591,0.005878927314384418
博道基金,264.62,34,27.0,0.7456730405865013,-0.0247161709637049,0.01079866770366155,0.010145732295254572,0.04256526604751737
合煦智远基金,2.67,6,6.0,1.0,-0.013871978684598857,0.03240125830028107,-0.006769646880548032,-0.013131584898790712
同泰基金,37.88000000000001,36,18.0,0.45089757127771896,-0.029461919957718605,0.02153662226618134,-0.011872829833142988,0.04720467407815551
嘉合基金,195.21,35,27.0,0.5603196557553405,-0.013497440952535654,0.011186642842446082,-0.018337843580796563,-0.02530299414441259
嘉实基金,4603.889999999999,362,249.0,0.7437862329464863,-0.01047759954612515,0.002976906302356559,-0.015060291280406172,-0.00818233599658276
国信证券,0.49,1,0.0,,,,,
国元证券,0.0,1,0.0,,,,,
国寿安保基金管理,1452.8700000000001,127,90.0,0.8402816494249313,-0.006618997793678231,0.013303854108597008,0.0043352077997187,0.010745854115101686
国投瑞银基金,992.5899999999999,105,79.0,0.7953434953001743,-0.009490705403688878,0.008993711678569138,0.013968281649311716,0.012322633999190643
国泰基金,2811.8400000000006,285,182.0,0.8697827756913622,-0.00989314028180268,0.009942719508698362,0.004614704451495022,0.012935338721834153
国海富兰克林基金,603.5399999999997,54,45.0,0.9213805215892897,-0.007516548042120651,-0.004796824885880734,-0.01942913198123926,-0.0012073857335431204
国海证券,4.3,4,0.0,,,,,
国联安基金,654.2700000000001,92,79.0,0.8702981949348125,-0.007559515641675692,0.0066234734562375325,0.0007943847202246812,-0.012039063493698416
国联证券,4.36,7,0.0,,,,,
国融基金,2.81,14,12.0,0.27046263345195737,-0.015672725550494707,-0.012166283019064495,-0.08670921816685238,-0.103692109583768
国都证券,0.96,4,3.0,0.3229166666666667,-0.019674760063974894,0.013547475362401749,-0.12608062180999088,-0.11480550851126947
国金基金,71.58999999999999,37,29.0,0.7516412906830562,-0.006372501925256423,0.004193552833734874,-0.01043036670067022,-0.007412285275406986
圆信永丰基金,352.12999999999994,40,34.0,0.6274103314116944,-0.012603894579019542,0.03168547998230306,-0.013488715106742315,0.012467105583332402
大成基金,1541.6700000000003,222,156.0,0.8140393209960625,-0.003942167434880998,0.007151421408197473,0.011333839080608204,0.010331203388822032
天弘基金,2709.2999999999997,237,137.0,0.7999335621747318,-0.007527491264440403,0.009065050993195137,-0.0009439468501647391,0.01092628824246025
天治基金,54.720000000000006,17,16.0,0.26845760233918126,-0.02063696299621259,-0.002145569593120857,-0.014277853410830547,-0.026012327178468155
天风(上海)证券资产管理,4.870000000000001,5,2.0,0.11293634496919916,0.00028255506707997426,0.0053811531946710185,0.010665136527568252,0.02008114978492869
太平基金,461.46,31,19.0,0.6423958739652407,-0.020258993991074208,0.008273532216232235,-0.020509173479929553,-0.004579783936583477
太平洋,5.39,1,1.0,1.0,0.0007465162574651909,0.005256447794020933,0.011584010537333577,0.026371336396473974
安信基金,780.84,133,104.0,0.8401721223297985,-0.004892341372013735,0.00560998057120571,0.008521489930201014,0.019549154080708873
安信证券资产,11.69,9,3.0,0.4944396920444825,0.0003426113898839113,0.004481064318898332,0.008424726059395272,0.020398840283757155
宝盈基金,517.99,99,77.0,0.8571787100137068,-0.010768759383484526,0.0276279768211242,0.009289472427787625,0.01710786269156673
富国基金,6068.289999999998,389,243.0,0.8444355823469212,-0.014383531690272823,0.008964739777231157,-0.00909191674536407,-0.001561720295852454
富安达基金,28.17,22,15.0,0.723464678736244,-0.023526176185083514,0.011512513646241722,0.003640670637810607,-0.013273548526828908
富荣基金,124.56,30,22.0,0.7907835581245986,-0.009922947419135998,0.0020063345208937385,0.0008559770511868583,0.0020673705332402326
尚正基金管理,1.81,2,0.0,,,,,
山西证券,77.07,16,11.0,0.9582198001816531,-0.004148804164035001,0.006156060102288709,-0.010190705164255824,-0.016982767910174768
工银瑞信基金,4343.950000000002,334,239.0,0.837431370066414,-0.01236654983233635,0.0057006989543981635,-0.005927292918541126,-0.0003727201007570683
平安基金,1860.67,259,197.0,0.7849753045945816,-0.006337906856726424,0.013769232267739755,0.0034928258401582335,0.015134146860903499
平安证券,3.24,4,0.0,,,,,
广发基金,6741.369999999998,496,350.0,0.7641369632582106,-0.01013076541926667,0.009334041837024127,-0.0031774940090332432,0.003916990519876421
广发资产管理,103.17,24,17.0,0.7343219928273723,-0.009160271007049447,-0.0072183534132746405,-0.010083859895711695,0.01631062633340459
建信基金,1718.789999999999,214,163.0,0.8116291111770493,-0.007309369585410471,0.004874024675907081,0.0079262815594463,0.009186204822323726
弘毅远方基金,15.7,11,5.0,0.643312101910828,-0.025270648761582203,0.018959461566708302,-0.013820022858548508,-0.07724698892276731
德邦基金,252.55999999999995,62,46.0,0.8077288565093443,-0.009328918457181569,0.00771567419984749,0.0003506509689114792,0.011250279789460945
恒生前海基金,39.96,22,16.0,0.8345845845845846,-0.00941667397838193,0.002576653962173674,-0.00585313450092335,-0.005111317589388621
恒越基金,149.75000000000003,20,6.0,0.6568948247078463,-0.03558298215981948,0.05239263529810589,-0.005519954276599279,0.16190851575935553
惠升基金,317.99000000000007,30,17.0,0.6108368187678856,-0.017299825389901064,-0.005940660420415349,-0.013703369832451361,-0.012848051217988508
招商基金,5239.400000000002,385,267.0,0.7832843455357483,-0.009883777358355848,0.007706894023376912,-0.003200481852205671,-0.005450481221308167
招商证券资管,15.729999999999999,8,2.0,0.23966942148760334,-0.02527928566947478,0.018126024038694094,-0.020249711577506865,-0.11162749778596956
摩根士丹利华鑫基金,411.97,45,34.0,0.9194601548656456,-0.018946978000591065,0.0009513905931854263,-0.012284039134700343,-0.0009394352223385062
新华基金,382.19999999999993,75,64.0,0.8406070120355837,-0.017032040594851118,0.010146455773729404,0.015526216123492259,0.01221411048268081
新沃基金,54.38999999999999,8,5.0,0.023901452472881047,-0.01641782470832958,0.020266116923415217,-0.0002524460757695617,0.04224716884513333
方正富邦基金,206.25,62,48.0,0.6645818181818182,-0.013044562338417389,0.004373098992141667,-0.007599707256687832,-0.0065320877937620645
方正证券,49.970000000000006,6,2.0,0.6145687412447468,-0.032783812471477866,-0.01710788997344396,-0.04862694898614536,-0.07181297288816202
明亚基金,0.5,2,2.0,1.0,-0.0001233378426692915,-0.029465484301045827,-0.07685121937980474,-0.02609392624512961
易方达基金,9429.710000000012,416,284.0,0.817193741907226,-0.008735902582369653,0.0023156079377255516,-0.010916712881907153,-0.0024182192109415634
易米基金管理,0.1,2,0.0,,,,,
景顺长城基金,3380.749999999999,190,139.0,0.8002632551948534,-0.009274591581451372,0.006914919703417966,-0.007048892678355946,0.006622539168667129
朱雀基金,266.58,12,11.0,0.6975016880486157,-0.018279074772607862,0.04295278949888945,0.029162629580310327,-0.024746961929199184
格林基金,203.99,27,21.0,0.5901759890190694,-0.008548702292637857,-0.0005237172123912172,-0.0222420686567118,-0.043569610810470526
民生加银基金,1184.7199999999998,140,108.0,0.8425872780066178,-0.013823421331078709,-0.005231929090355325,-0.009289941167100966,-0.014407129560118914
永赢基金,1801.9099999999999,139,102.0,0.8763645243103154,-0.007735332333936486,0.0028522276421342843,-0.0037564073652261373,0.01043598791307362
汇丰晋信基金,380.98999999999995,38,30.0,0.8736712249665346,-0.016486677238319446,0.015660422502362218,-0.009290108077595626,-0.01364565403759091
汇安基金,404.53999999999996,93,77.0,0.8077569585207891,-0.017076677632857057,0.020312523699714657,0.003747628080281958,0.006093352728376043
汇泉基金管理,42.379999999999995,4,0.0,,,,,
汇添富基金,6264.559999999998,373,243.0,0.8167516952507442,-0.014354712519806943,0.0019723952258158366,-0.0299488442812089,-0.005906179144936467
江信基金,18.69,12,12.0,1.0,-0.0068670953839583436,0.0287325543924994,0.0374588513555324,0.04297994236630583
泓德基金,1012.1,51,41.0,0.8667028949708528,-0.00991187277758812,0.004069369470934918,-0.03948509330951333,-0.03495344653064765
泰信基金,91.41,39,25.0,0.6566021223060934,-0.02454421820420638,0.007729232942381145,0.015949426298626997,0.036695611762740235
泰康资产,817.7,94,77.0,0.9060535648770942,-0.010031629334249063,0.008212223872023782,-0.013796459615951726,0.0005598440730412128
泰达宏利基金,404.37,96,79.0,0.8058955906719096,-0.014996425012200268,0.005826281736302365,-0.0032129593399370417,-0.0031055785042136026
浙商基金,357.43000000000006,68,45.0,0.8343731639761632,-0.007691922267776941,0.00645149721170292,0.0027797784249749425,0.02497118273942249
浙商证券资管,187.6,31,23.0,0.7449893390191897,-0.012506582355448681,0.006662137706535216,-0.007459827427580276,-0.0014216978887503797
浦银安盛基金,1362.610000000001,151,104.0,0.7358525183287948,-0.008050880093243212,0.009600397517252593,0.008980548970483154,0.010797276589892437
海富通基金,879.0699999999995,136,105.0,0.8686680241618984,-0.014250117609308255,0.007889675696546186,0.01061609556832413,0.011076239344437671
淳厚基金,249.48000000000002,27,19.0,0.8436748436748436,-0.003471157071370854,0.02471541608383611,0.014559416278914439,0.025333037251742466
渤海汇金,97.81,10,6.0,0.9213781821899601,-0.00896380391840361,-0.004891303752160413,-0.017208378177501673,0.005039179122014333
湘财基金,31.33,17,12.0,0.4044047239067986,-0.005103610514495238,-0.006807467278660491,0.046821183090798246,0.0010533220938747526
瑞达基金管理,2.9099999999999997,4,0.0,,,,,
申万宏源证券,2.32,2,0.0,,,,,
申万菱信基金,667.0899999999998,91,63.0,0.7413992115006971,-0.017380993416288383,0.01604624738915322,0.01286265004203522,0.008147477593382507
百嘉基金管理,30.08,4,0.0,,,,,
益民基金,14.469999999999999,6,6.0,1.0,-0.031914071812424304,0.02547570427952368,-0.01613423494627089,-0.021137310390756364
睿远基金,600.24,6,4.0,0.8342163134746101,-0.012954307335528308,0.009760851918117363,-0.033204342123517076,-0.03251165493706719
第一创业,1.56,2,0.0,,,,,
红土创新基金,51.44999999999999,21,17.0,0.5241982507288631,-0.011126367156731896,0.012399792110952025,0.025214685759255406,0.04296763649149693
红塔红土,50.31000000000001,29,19.0,0.42735042735042733,-0.005611461968536793,0.01515492166537065,0.011748437996290086,-0.044822141687797294
英大基金,254.62,28,19.0,0.9517319927735448,-0.00305332477134779,0.009461936766220877,0.020960160147516265,0.030543211536021398
蜂巢基金,321.45000000000005,28,20.0,0.7871830766837766,-0.0045343228090145935,0.0007085958253190578,-1.3037975847342244e-05,-0.009085196212480957
融通基金,618.99,124,99.0,0.9054265820126334,-0.010639084449384667,0.01723652260992239,0.0052863129238057,-0.0011821230892243538
西部利得基金,495.8700000000002,89,70.0,0.8814608667594329,-0.006360234792559594,0.007511413898872329,0.007876983638115061,0.0064665273809565394
诺安基金,621.7299999999999,82,74.0,0.9970405159796054,-0.012938039863947967,0.021946611852848835,0.021526656112665542,0.026597451067110523
诺德基金,225.09000000000003,39,31.0,0.7078946199298057,-0.017162579302349282,0.006607423910832584,-0.03215380696471025,-0.028002188006441477
贝莱德基金管理有限公司,66.81,4,0.0,,,,,
财通基金,359.64,64,48.0,0.9289011233455678,-0.011909921398076258,0.005858447230081593,-0.012014942822958681,0.01694586798030037
财通资管,999.11,79,42.0,0.8937554423436859,-0.005495383765415339,0.008378504946848872,0.006662412435093359,0.028268940755002848
达诚基金管理,4.760000000000001,8,4.0,0.4978991596638655,-0.05362448935298832,-0.018871376330497458,-0.06406833073257966,-0.021979437339320382
金信基金,36.79999999999999,20,20.0,1.0,-0.018645445840322038,0.03406497294454823,0.05504347541717507,0.06203362893387783
金元顺安基金,174.35,21,17.0,0.9939776312016061,-0.00488852171840558,0.005541248108379655,0.001080952636850433,0.0011779890041477175
金鹰基金,426.18,83,62.0,0.8296259796330189,-0.015477610976188027,0.018613548819284616,0.022854919471825486,0.036484617549969664
鑫元基金,422.8199999999999,67,60.0,0.962631852797881,-0.004010502898268552,0.004199618727613874,0.004097084204792532,0.010664228140867142
银华基金,3945.3799999999997,207,147.0,0.8666947163517834,-0.019387693191433176,0.008504089284475403,-0.01601622362054631,-0.010190238157272335
银河基金,806.3,114,102.0,0.9066104427632395,-0.01172544602251801,0.0070648928713418985,-0.002471389225499068,0.003031394040833578
银河金汇证券,0.0,1,0.0,,,,,
长信基金,689.7799999999999,140,115.0,0.9004610165560032,-0.01056576331032359,0.006580926376878878,-0.0047636763653943984,-0.014888352134335715
长城基金,838.46,124,77.0,0.7660234238961906,-0.019382453557616832,0.008562691226012085,0.0046395661277071265,0.006862143954595743
长城证券,5.7299999999999995,5,0.0,,,,,
长安基金,97.68,40,33.0,0.6033988533988534,-0.031904827654290174,0.016347430944586495,0.008118719916658494,-0.025954551843545278
长江证券(上海),85.40000000000002,38,16.0,0.7581967213114752,-0.004913932248649684,0.016762548089538084,0.011011705266877489,-0.003553678137004096
长盛基金,325.43,96,78.0,0.8413176412746212,-0.017383355408610853,0.011256013342974294,0.005221287525958745,-0.010805734781881897
鹏华基金,3964.4300000000003,364,270.0,0.8203146480074056,-0.008370826358491843,0.007194772769667207,-0.0037511661076452263,-0.00537498214388148
鹏扬基金,848.65,107,71.0,0.7662994167206743,-0.00847660831543174,0.008796235278558941,0.010627011009786646,0.011915740125044096
